Time	(10) Hip Flx Ib	(11) Knee Ext Ib	(12) Knee Flx Ib	(13) Ankle Ext Ib	(14) Ankle Flx Ib	(9) Hip Ext Ib	
4.118	-0.05182047	-0.04742996	-0.04	-0.04744228	-0.04	-0.05975021	
4.1182	-0.05182899	-0.04742175	-0.04	-0.04743407	-0.04	-0.05975033	
4.1184	-0.05183818	-0.04741289	-0.04	-0.0474252	-0.04	-0.05975045	
4.1186	-0.05184701	-0.04740437	-0.04	-0.04741668	-0.04	-0.05975058	
4.1188	-0.0518555	-0.0473962	-0.04	-0.04740849	-0.04	-0.05975069	
4.119	-0.05186467	-0.04738737	-0.04	-0.04739965	-0.04	-0.05975082	
4.1192	-0.05187347	-0.04737888	-0.04	-0.04739116	-0.04	-0.05975094	
4.1194	-0.05188193	-0.04737073	-0.04	-0.047383	-0.04	-0.05975106	
4.1196	-0.05189106	-0.04736193	-0.04	-0.04737419	-0.04	-0.05975119	
4.1198	-0.05189984	-0.04735347	-0.04	-0.04736573	-0.04	-0.05975131	
4.12	-0.05190827	-0.04734534	-0.04	-0.0473576	-0.04	-0.05975143	
4.1202	-0.05191737	-0.04733657	-0.04	-0.04734882	-0.04	-0.05975156	
4.1204	-0.05192612	-0.04732814	-0.04	-0.04734038	-0.04	-0.05975168	
4.1206	-0.05193452	-0.04732004	-0.04	-0.04733227	-0.04	-0.0597518	
4.1208	-0.05194359	-0.0473113	-0.04	-0.04732352	-0.04	-0.05975193	
4.121	-0.05195231	-0.0473029	-0.04	-0.04731511	-0.04	-0.05975205	
4.1212	-0.05196069	-0.04729483	-0.04	-0.04730703	-0.04	-0.05975217	
4.1214	-0.05196973	-0.04728612	-0.04	-0.04729831	-0.04	-0.05975229	
4.1216	-0.05197842	-0.04727774	-0.04	-0.04728993	-0.04	-0.05975241	
4.1218	-0.05198677	-0.0472697	-0.04	-0.04728188	-0.04	-0.05975253	
4.122	-0.05199578	-0.04726101	-0.04	-0.04727319	-0.04	-0.05975266	
4.1222	-0.05200444	-0.04725267	-0.04	-0.04726483	-0.04	-0.05975278	
4.1224	-0.05201276	-0.04724465	-0.04	-0.04725681	-0.04	-0.05975289	
4.1226	-0.05202174	-0.047236	-0.04	-0.04724814	-0.04	-0.05975302	
4.1228	-0.05203037	-0.04722768	-0.04	-0.04723982	-0.04	-0.05975314	
4.123	-0.05203867	-0.04721969	-0.04	-0.04723182	-0.04	-0.05975325	
4.1232	-0.05204762	-0.04721107	-0.04	-0.04722318	-0.04	-0.05975338	
4.1234	-0.05205622	-0.04720278	-0.04	-0.04721488	-0.04	-0.0597535	
4.1236	-0.05206449	-0.04719482	-0.04	-0.04720691	-0.04	-0.05975362	
4.1238	-0.05207341	-0.04718622	-0.04	-0.0471983	-0.04	-0.05975374	
4.124	-0.05208199	-0.04717796	-0.04	-0.04719003	-0.04	-0.05975386	
4.1242	-0.05209023	-0.04717002	-0.04	-0.04718209	-0.04	-0.05975398	
4.1244	-0.05209912	-0.04716146	-0.04	-0.0471735	-0.04	-0.0597541	
4.1246	-0.05210767	-0.04715322	-0.04	-0.04716526	-0.04	-0.05975422	
4.1248	-0.05211588	-0.04714531	-0.04	-0.04715734	-0.04	-0.05975433	
4.125	-0.05212474	-0.04713678	-0.04	-0.04714879	-0.04	-0.05975446	
4.1252	-0.05213326	-0.04712857	-0.04	-0.04714058	-0.04	-0.05975458	
4.1254	-0.05214145	-0.04712069	-0.04	-0.04713268	-0.04	-0.05975469	
4.1256	-0.05215028	-0.04711218	-0.04	-0.04712416	-0.04	-0.05975481	
4.1258	-0.05215877	-0.047104	-0.04	-0.04711597	-0.04	-0.05975493	
4.126	-0.05216693	-0.04709614	-0.04	-0.0471081	-0.04	-0.05975505	
4.1262	-0.05217573	-0.04708766	-0.04	-0.04709961	-0.04	-0.05975517	
4.1264	-0.0521842	-0.04707951	-0.04	-0.04709144	-0.04	-0.05975529	
4.1266	-0.05219233	-0.04707168	-0.04	-0.0470836	-0.04	-0.0597554	
4.1268	-0.05220111	-0.04706323	-0.04	-0.04707513	-0.04	-0.05975553	
4.127	-0.05220954	-0.04705511	-0.04	-0.047067	-0.04	-0.05975565	
4.1272	-0.05221764	-0.04704731	-0.04	-0.04705918	-0.04	-0.05975576	
4.1274	-0.05222639	-0.04703888	-0.04	-0.04705074	-0.04	-0.05975588	
4.1276	-0.0522348	-0.04703078	-0.04	-0.04704263	-0.04	-0.059756	
4.1278	-0.05224288	-0.04702301	-0.04	-0.04703484	-0.04	-0.05975611	
4.128	-0.05225159	-0.04701461	-0.04	-0.04702643	-0.04	-0.05975623	
4.1282	-0.05225997	-0.04700654	-0.04	-0.04701835	-0.04	-0.05975635	
4.1284	-0.05226802	-0.04699879	-0.04	-0.04701059	-0.04	-0.05975646	
4.1286	-0.05227671	-0.04699042	-0.04	-0.0470022	-0.04	-0.05975658	
