Time	Back_Left_Ankle	Back_Left_Hip_Joint	Back_Left_Knee_Joint	
0.126	0.06535002	-0.01151749	0.0002827199	
0.1266	0.06628125	-0.01176107	-0.0002533742	
0.1272	0.06642443	-0.0122151	-0.000276261	
0.1278	0.06652828	-0.01323803	0.0007336983	
0.1284	0.06729738	-0.0135108	0.0002804784	
0.129	0.06822537	-0.01376439	-0.0002553805	
0.1296	0.06838048	-0.01422463	-0.0002850871	
0.1302	0.06848346	-0.01522908	0.0006760677	
0.1308	0.06925204	-0.01551359	0.0002213374	
0.1314	0.07017749	-0.01578134	-0.00031533	
0.132	0.07035106	-0.01625695	-0.0003442216	
0.1326	0.07045311	-0.01724733	0.0005682114	
0.1332	0.0712226	-0.01754712	0.0001106266	
0.1338	0.07214705	-0.01783214	-0.0004281753	
0.1344	0.07234266	-0.01833166	-0.0004470028	
0.135	0.07244374	-0.01931429	0.0004216447	
0.1356	0.07321495	-0.01963222	-3.968347E-05	
0.1362	0.07332368	-0.02010892	-7.874327E-05	
0.1368	0.0734235	-0.02109738	0.0008063645	
0.1374	0.07418518	-0.02141514	0.0003502926	
0.138	0.07510074	-0.02172096	-0.0001868897	
0.1386	0.07530159	-0.02220939	-0.0002567309	
0.1392	0.07540059	-0.02313591	0.0004834556	
0.1398	0.07617196	-0.02347455	1.888236E-05	
0.1404	0.07709045	-0.02380458	-0.0005236858	
0.141	0.07733145	-0.02434592	-0.0005485623	
0.1416	0.07742944	-0.02528402	0.0001660493	
0.1422	0.07820453	-0.02564855	-0.0003046031	
0.1428	0.07838332	-0.02618243	-0.0003382683	
0.1434	0.07848012	-0.02712011	0.0003758626	
0.144	0.07924793	-0.02748744	-9.124336E-05	
0.1446	0.07942069	-0.02799838	-0.000164127	
0.1452	0.07951644	-0.02889429	0.0004790687	
0.1458	0.08028135	-0.02926351	1.329411E-05	
0.1464	0.08118922	-0.02962917	-0.0005290336	
0.147	0.08145969	-0.03019471	-0.0005687003	
0.1476	0.08155456	-0.03107808	-4.197168E-06	
0.1482	0.08164896	-0.03236362	0.001286548	
0.1488	0.0823685	-0.03276385	0.0008404083	
0.1494	0.08326901	-0.03315325	0.0002984094	
0.15	0.08420194	-0.03356654	-0.0002650182	
0.1506	0.08448703	-0.03415609	-0.0003653033	
0.1512	0.08458005	-0.0350238	6.403212E-05	
0.1518	0.0853756	-0.03547849	-0.0004317588	
0.1524	0.08563323	-0.03610177	-0.0004834003	
0.153	0.08572525	-0.03699234	-2.337218E-05	
0.1536	0.08581673	-0.03822915	0.001062728	
0.1542	0.08655713	-0.03869035	0.0005957645	
0.1548	0.08746891	-0.03914177	3.792464E-05	
0.1554	0.08841168	-0.03961651	-0.0005404837	
0.156	0.08874262	-0.04028866	-0.000610518	
0.1566	0.08883312	-0.04116323	-0.0002816347	
0.1572	0.08892272	-0.04235394	0.0006137833	
0.1578	0.08968873	-0.04286926	0.0001244469	
0.1584	0.09061752	-0.0433749	-0.0004511556	
0.159	0.09095301	-0.04406185	-0.0005413563	
0.1596	0.09104212	-0.04491785	-0.0002890405	
0.1602	0.09113027	-0.04606017	0.0004785914	
0.1608	0.09190437	-0.04659801	-1.861878E-05	
0.1614	0.09217935	-0.04724647	-0.0001618896	
0.162	0.09226713	-0.04806387	3.682484E-05	
0.1626	0.09307264	-0.0485977	-0.0004766345	
0.1632	0.09338748	-0.04928868	-0.0005501166	
0.1638	0.09347472	-0.05011542	-0.0003357577	
0.1644	0.09356106	-0.05118825	0.0003281466	
0.165	0.09432473	-0.05172399	-0.0001629759	
0.1656	0.09461806	-0.05237644	-0.0002872519	
0.1662	0.09470431	-0.05315463	-0.0001413314	
0.1668	0.09478974	-0.05416022	0.0004232971	
0.1674	0.09554925	-0.05469054	-6.4632E-05	
0.168	0.09584149	-0.05532489	-0.000207874	
0.1686	0.09592701	-0.05607028	-0.0001061621	
0.1692	0.09601171	-0.05702922	0.0003903898	
0.1698	0.09676722	-0.05755658	-9.482831E-05	
0.1704	0.09706346	-0.0581889	-0.0002341335	
0.171	0.09714847	-0.05891979	-0.0001500267	
0.1716	0.09723268	-0.05985499	0.0003124766	
0.1722	0.0979845	-0.06038202	-0.0001706353	
0.1728	0.09828573	-0.06102022	-0.0002974196	
0.1734	0.09837049	-0.06174896	-0.0002148213	
0.174	0.09845448	-0.06267771	0.0002380576	
0.1746	0.09920362	-0.06320653	-0.0002438445	
0.1752	0.0995084	-0.06385339	-0.0003578493	
0.1758	0.09959317	-0.06458881	-0.0002661937	
0.1764	0.09967722	-0.06552538	0.0001970472	
0.177	0.100425	-0.06605757	-0.0002845959	
0.1776	0.1007302	-0.06671245	-0.000390616	
0.1782	0.1008153	-0.06746144	-0.0002819194	
0.1788	0.1008998	-0.06841883	0.0002103774	
0.1794	0.101647	-0.06895514	-0.0002715651	
0.18	0.101948	-0.06961451	-0.000377825	
0.1806	0.1020337	-0.07038249	-0.0002451271	
0.1812	0.102119	-0.07137296	0.0002952097	
0.1818	0.1028668	-0.07191359	-0.0001876603	
0.1824	0.1031579	-0.0725718	-0.0003052238	
0.183	0.1032446	-0.07336332	-0.0001423627	
0.1836	0.1033311	-0.07439892	0.0004654289	
0.1842	0.1040806	-0.07494365	-1.896151E-05	
0.1848	0.1043535	-0.0755938	-0.0001602462	
0.1854	0.1044416	-0.076414	4.060912E-05	
0.186	0.1052309	-0.07696603	-0.0004663624	
0.1866	0.1055312	-0.07767739	-0.0005332052	
0.1872	0.105621	-0.07857559	-0.0002284676	
0.1878	0.1057107	-0.07977819	0.0006236351	
0.1884	0.1064669	-0.08034108	0.0001328477	
0.189	0.1073941	-0.08090115	-0.0004497133	
0.1896	0.1077175	-0.08164964	-0.0005326247	
0.1902	0.1078103	-0.08263675	-0.000157753	
0.1908	0.1079033	-0.08399171	0.0008695833	
0.1914	0.1086826	-0.08459055	0.0003606765	
0.192	0.1096445	-0.08517554	-0.0002444758	
0.1926	0.1099446	-0.08594521	-0.0003556109	
0.1932	0.110041	-0.08703732	0.0001316338	
0.1938	0.1108904	-0.08766001	-0.000418848	
0.1944	0.1111417	-0.08847565	-0.0004682079	
0.195	0.1112406	-0.08968253	0.0001976115	
0.1956	0.1120939	-0.09031005	-0.0003556657	
0.1962	0.1123191	-0.09113221	-0.000403247	
0.1968	0.1124206	-0.0924085	0.000372535	
0.1974	0.1132827	-0.09304658	-0.000149996	
0.198	0.1134406	-0.09387396	-0.000200105	
0.1986	0.1135448	-0.09524222	0.0007175069	
0.1992	0.1143943	-0.09590624	0.0002471923	
0.1998	0.1154321	-0.09651942	-0.0004031948	
0.2004	0.1156656	-0.09737828	-0.000445852	
0.201	0.1157742	-0.09882475	0.0005645973	
0.2016	0.1165829	-0.09953412	0.0001271187	
0.2022	0.117647	-0.1001662	-0.0005404449	
0.2028	0.1178577	-0.1010761	-0.0005426989	
0.2034	0.1179706	-0.1026685	0.0006686123	
0.204	0.1187276	-0.103431	0.0002604711	
0.2046	0.1198235	-0.104104	-0.0003667655	
0.2052	0.1199431	-0.1050663	-0.0003390872	
0.2058	0.1200601	-0.1068481	0.001121158	
0.2064	0.1207791	-0.1076749	0.0007338886	
0.207	0.1218471	-0.108418	0.0001526454	
0.2076	0.1229895	-0.1091385	-0.0004735858	
0.2082	0.1231147	-0.1102594	-0.0002713736	
0.2088	0.1232374	-0.1123034	0.001541064	
0.2094	0.1239079	-0.113217	0.001180556	
0.21	0.1249318	-0.1140529	0.0006258498	
0.2106	0.1260243	-0.1148747	3.319809E-05	
0.2112	0.1271272	-0.115699	-0.0005652001	
0.2118	0.127259	-0.1170756	-8.482455E-05	
0.2124	0.1273887	-0.1194985	0.002217138	
0.213	0.1279776	-0.1205493	0.001901454	
0.2136	0.1289836	-0.1215151	0.001356759	
0.2142	0.1300644	-0.1224711	0.0007706698	
0.2148	0.13116	-0.1234341	0.0001764181	
0.2154	0.1322599	-0.1244099	-0.0004202116	
0.216	0.1323994	-0.1260835	0.000311296	
0.2166	0.133215	-0.1272015	-0.0001288578	
0.2172	0.1333561	-0.1291855	0.00102766	
0.2178	0.1341134	-0.1303925	0.0006195586	
0.2184	0.1351647	-0.1315488	4.993762E-05	
0.219	0.1362717	-0.1327076	-0.0005504386	
0.2196	0.1364179	-0.1346735	0.0003738146	
0.2202	0.1372062	-0.1359871	-5.132123E-05	
0.2208	0.1373537	-0.1382933	0.001341295	
0.2214	0.1380611	-0.1397084	0.0009606355	
0.222	0.1391012	-0.1410677	0.0003972607	
0.2226	0.1402062	-0.1424308	-0.0002019806	
0.2232	0.1403589	-0.1447151	0.0009245191	
