Time	(15) Hip Ext II	(16) Hip Flx II	(17) Knee Ext II	(18) Knee Flx II	(19) Ankle Ext II	(20) Ankle Flx II	
0.0114	-0.05195903	-0.05194918	-0.05998475	-0.04204568	-0.05999484	-0.04204568	
0.0116	-0.0519231	-0.05191322	-0.05998468	-0.04196547	-0.05999481	-0.04196547	
0.0118	-0.05188858	-0.05187866	-0.05998462	-0.0418884	-0.05999479	-0.0418884	
0.012	-0.05185541	-0.05184547	-0.05998456	-0.04181436	-0.05999476	-0.04181436	
0.0122	-0.05182355	-0.05181358	-0.0599845	-0.04174322	-0.05999475	-0.04174322	
0.0124	-0.05179293	-0.05178293	-0.05998444	-0.04167486	-0.05999472	-0.04167486	
0.0126	-0.05176351	-0.05175349	-0.05998439	-0.04160919	-0.05999471	-0.04160919	
0.0128	-0.05173525	-0.0517252	-0.05998433	-0.0415461	-0.05999468	-0.0415461	
0.013	-0.05170809	-0.05169803	-0.05998428	-0.04148547	-0.05999466	-0.04148547	
0.0132	-0.051682	-0.05167191	-0.05998423	-0.04142722	-0.05999465	-0.04142722	
0.0134	-0.05165694	-0.05164682	-0.05998419	-0.04137126	-0.05999463	-0.04137126	
0.0136	-0.05163285	-0.05162272	-0.05998414	-0.0413175	-0.05999461	-0.0413175	
0.0138	-0.05160971	-0.05159956	-0.0599841	-0.04126583	-0.05999459	-0.04126583	
0.014	-0.05158748	-0.05157731	-0.05998406	-0.0412162	-0.05999457	-0.0412162	
0.0142	-0.05156612	-0.05155593	-0.05998402	-0.04116851	-0.05999456	-0.04116851	
0.0144	-0.0515456	-0.05153539	-0.05998398	-0.04112269	-0.05999454	-0.04112269	
0.0146	-0.05152588	-0.05151565	-0.05998395	-0.04107868	-0.05999453	-0.04107868	
0.0148	-0.05150694	-0.05149669	-0.05998391	-0.04103638	-0.05999452	-0.04103638	
0.015	-0.05148873	-0.05147847	-0.05998388	-0.04099574	-0.0599945	-0.04099574	
0.0152	-0.05147124	-0.05146097	-0.05998385	-0.0409567	-0.05999449	-0.0409567	
0.0154	-0.05145444	-0.05144415	-0.05998382	-0.04091918	-0.05999447	-0.04091918	
0.0156	-0.05143829	-0.05142799	-0.05998379	-0.04088314	-0.05999446	-0.04088314	
0.0158	-0.05142278	-0.05141247	-0.05998376	-0.04084852	-0.05999444	-0.04084852	
0.016	-0.05140788	-0.05139755	-0.05998373	-0.04081525	-0.05999443	-0.04081525	
0.0162	-0.05139356	-0.05138322	-0.0599837	-0.04078328	-0.05999442	-0.04078328	
0.0164	-0.05137981	-0.05136945	-0.05998368	-0.04075256	-0.05999441	-0.04075256	
0.0166	-0.05136659	-0.05135622	-0.05998366	-0.04072306	-0.05999439	-0.04072306	
0.0168	-0.0513539	-0.0513435	-0.05998364	-0.04069471	-0.05999438	-0.04069471	
0.017	-0.0513417	-0.05133129	-0.05998361	-0.04066747	-0.05999437	-0.04066747	
0.0172	-0.05132998	-0.05131956	-0.0599836	-0.04064129	-0.05999436	-0.04064129	
0.0174	-0.05131872	-0.05130829	-0.05998357	-0.04061615	-0.05999435	-0.04061615	
0.0176	-0.05130791	-0.05129746	-0.05998356	-0.04059199	-0.05999434	-0.04059199	
0.0178	-0.05129751	-0.05128705	-0.05998354	-0.04056878	-0.05999433	-0.04056878	
0.018	-0.05128753	-0.05127705	-0.05998352	-0.04054647	-0.05999431	-0.04054647	
0.0182	-0.05127793	-0.05126744	-0.0599835	-0.04052505	-0.0599943	-0.04052505	
0.0184	-0.05126872	-0.05125821	-0.05998349	-0.04050446	-0.0599943	-0.04050446	
0.0186	-0.05125986	-0.05124934	-0.05998347	-0.04048468	-0.05999428	-0.04048468	
0.0188	-0.05125134	-0.05124082	-0.05998346	-0.04046568	-0.05999427	-0.04046568	
0.019	-0.05124317	-0.05123263	-0.05998344	-0.04044741	-0.05999427	-0.04044741	
0.0192	-0.05123531	-0.05122476	-0.05998343	-0.04042987	-0.05999425	-0.04042987	
0.0194	-0.05122777	-0.0512172	-0.05998342	-0.04041302	-0.05999424	-0.04041302	
0.0196	-0.05122052	-0.05120994	-0.05998341	-0.04039682	-0.05999424	-0.04039682	
0.0198	-0.05121356	-0.05120296	-0.0599834	-0.04038126	-0.05999422	-0.04038126	
0.02	-0.05120687	-0.05119626	-0.05998339	-0.04036631	-0.05999421	-0.04036631	
0.0202	-0.05120044	-0.05118982	-0.05998338	-0.04035195	-0.05999421	-0.04035195	
0.0204	-0.05119427	-0.05118363	-0.05998337	-0.04033815	-0.05999419	-0.04033815	
0.0206	-0.05118833	-0.05117768	-0.05998336	-0.04032489	-0.05999419	-0.04032489	
0.0208	-0.05118263	-0.05117197	-0.05998335	-0.04031215	-0.05999418	-0.04031215	
0.021	-0.05117716	-0.05116648	-0.05998335	-0.04029991	-0.05999417	-0.04029991	
0.0212	-0.0511719	-0.0511612	-0.05998334	-0.04028815	-0.05999416	-0.04028815	
0.0214	-0.05116684	-0.05115613	-0.05998333	-0.04027685	-0.05999415	-0.04027685	
0.0216	-0.05116199	-0.05115126	-0.05998333	-0.040266	-0.05999414	-0.04026594	
0.0218	-0.05115732	-0.05114658	-0.05998332	-0.04025557	-0.05999413	-0.04025546	
0.022	-0.05115284	-0.05114208	-0.05998332	-0.04024555	-0.05999412	-0.04024539	
0.0222	-0.05114853	-0.05113776	-0.05998331	-0.04023592	-0.05999411	-0.04023572	
0.0224	-0.05114439	-0.05113361	-0.05998331	-0.04022667	-0.0599941	-0.04022642	
0.0226	-0.05114042	-0.05112961	-0.0599833	-0.04021778	-0.05999409	-0.04021749	
0.0228	-0.0511366	-0.05112578	-0.0599833	-0.04020924	-0.05999408	-0.04020891	
0.023	-0.05113294	-0.0511221	-0.05998329	-0.04020104	-0.05999407	-0.04020066	
0.0232	-0.05112941	-0.05111856	-0.05998329	-0.04019316	-0.05999406	-0.04019274	
0.0234	-0.05112603	-0.05111516	-0.05998329	-0.04018558	-0.05999405	-0.04018513	
0.0236	-0.05112278	-0.05111189	-0.05998328	-0.0401783	-0.05999404	-0.04017782	
0.0238	-0.05111966	-0.05110875	-0.05998328	-0.04017131	-0.05999403	-0.04017079	
0.024	-0.05111666	-0.05110573	-0.05998328	-0.04016459	-0.05999402	-0.04016405	
0.0242	-0.05111377	-0.05110283	-0.05998328	-0.04015814	-0.05999401	-0.04015756	
0.0244	-0.05111101	-0.05110005	-0.05998327	-0.04015194	-0.059994	-0.04015134	
0.0246	-0.05110835	-0.05109736	-0.05998327	-0.04014598	-0.05999399	-0.04014535	
0.0248	-0.05110579	-0.05109479	-0.05998327	-0.04014026	-0.05999398	-0.0401396	
0.025	-0.05110334	-0.05109232	-0.05998327	-0.04013476	-0.05999397	-0.04013408	
0.0252	-0.05110098	-0.05108994	-0.05998326	-0.04012948	-0.05999396	-0.04012877	
0.0254	-0.05109872	-0.05108765	-0.05998326	-0.0401244	-0.05999395	-0.04012368	
0.0256	-0.05109654	-0.05108546	-0.05998326	-0.04011952	-0.05999395	-0.04011878	
0.0258	-0.05109446	-0.05108334	-0.05998326	-0.04011483	-0.05999393	-0.04011407	
0.026	-0.05109245	-0.05108132	-0.05998326	-0.04011033	-0.05999392	-0.04010955	
0.0262	-0.05109052	-0.05107937	-0.05998326	-0.04010601	-0.05999392	-0.04010521	
0.0264	-0.05108867	-0.0510775	-0.05998326	-0.04010185	-0.0599939	-0.04010103	
0.0266	-0.0510869	-0.0510757	-0.05998326	-0.04009786	-0.05999389	-0.04009702	
0.0268	-0.05108519	-0.05107397	-0.05998327	-0.04009402	-0.05999388	-0.04009317	
0.027	-0.05108355	-0.05107231	-0.05998327	-0.04009033	-0.05999387	-0.04008947	
0.0272	-0.05108198	-0.05107071	-0.05998327	-0.04008679	-0.05999386	-0.04008592	
