Time	(5) Hip Bistable 1	(6) Knee Bistable 1	(7) Hip Bistable 2	(8) Knee Bistable 2	
7.7204	-0.02854524	-0.03952587	-0.06173086	-0.06113101	
7.7206	-0.0285552	-0.0395279	-0.06172721	-0.06112856	
7.7208	-0.0285652	-0.03952991	-0.06172357	-0.06112611	
7.721	-0.02857525	-0.03953192	-0.06171994	-0.06112367	
7.7212	-0.02858534	-0.03953391	-0.06171631	-0.06112124	
7.7214	-0.02859548	-0.0395359	-0.0617127	-0.06111881	
7.7216	-0.02860565	-0.03953788	-0.06170908	-0.06111639	
7.7218	-0.02861588	-0.03953984	-0.06170548	-0.06111396	
7.722	-0.02862616	-0.03954181	-0.06170188	-0.06111155	
7.7222	-0.02863648	-0.03954376	-0.06169829	-0.06110914	
7.7224	-0.02864685	-0.0395457	-0.06169471	-0.06110674	
7.7226	-0.02865728	-0.03954763	-0.06169113	-0.06110434	
7.7228	-0.02866776	-0.03954956	-0.06168756	-0.06110194	
7.723	-0.02867829	-0.03955148	-0.061684	-0.06109955	
7.7232	-0.02868888	-0.03955339	-0.06168044	-0.06109717	
7.7234	-0.02869953	-0.03955529	-0.06167689	-0.06109479	
7.7236	-0.02871023	-0.03955718	-0.06167335	-0.06109241	
7.7238	-0.028721	-0.03955906	-0.06166982	-0.06109004	
7.724	-0.02873182	-0.03956094	-0.06166629	-0.06108768	
7.7242	-0.02874271	-0.0395628	-0.06166277	-0.06108532	
7.7244	-0.02875367	-0.03956466	-0.06165925	-0.06108296	
7.7246	-0.02876469	-0.03956651	-0.06165574	-0.06108061	
7.7248	-0.02877577	-0.03956835	-0.06165224	-0.06107827	
7.725	-0.02878693	-0.03957019	-0.06164875	-0.06107593	
7.7252	-0.02879815	-0.03957202	-0.06164526	-0.06107359	
7.7254	-0.02880945	-0.03957383	-0.06164178	-0.06107126	
7.7256	-0.02882082	-0.03957564	-0.06163831	-0.06106893	
7.7258	-0.02883226	-0.03957744	-0.06163484	-0.06106661	
7.726	-0.02884378	-0.03957924	-0.06163138	-0.06106429	
7.7262	-0.02885538	-0.03958102	-0.06162792	-0.06106198	
7.7264	-0.02886706	-0.0395828	-0.06162448	-0.06105967	
7.7266	-0.02887882	-0.03958457	-0.06162104	-0.06105737	
7.7268	-0.02889067	-0.03958633	-0.06161761	-0.06105508	
7.727	-0.0289026	-0.03958809	-0.06161418	-0.06105278	
7.7272	-0.02891462	-0.03958983	-0.06161076	-0.06105049	
7.7274	-0.02892672	-0.03959157	-0.06160735	-0.06104821	
7.7276	-0.02893892	-0.03959331	-0.06160394	-0.06104593	
7.7278	-0.02895121	-0.03959503	-0.06160054	-0.06104366	
7.728	-0.02896359	-0.03959674	-0.06159715	-0.06104139	
7.7282	-0.02897607	-0.03959845	-0.06159376	-0.06103912	
7.7284	-0.02898865	-0.03960016	-0.06159038	-0.06103686	
7.7286	-0.02900133	-0.03960185	-0.06158701	-0.06103461	
7.7288	-0.02901411	-0.03960354	-0.06158364	-0.06103236	
7.729	-0.029027	-0.03960521	-0.06158028	-0.06103011	
7.7292	-0.02903999	-0.03960688	-0.06157693	-0.06102787	
7.7294	-0.0290531	-0.03960855	-0.06157358	-0.06102563	
7.7296	-0.02906631	-0.0396102	-0.06157024	-0.0610234	
7.7298	-0.02907964	-0.03961185	-0.06156691	-0.06102118	
7.73	-0.02909308	-0.0396135	-0.06156358	-0.06101895	
7.7302	-0.02910664	-0.03961513	-0.06156026	-0.06101673	
7.7304	-0.02912033	-0.03961676	-0.06155695	-0.06101452	
7.7306	-0.02913413	-0.03961838	-0.06155364	-0.06101231	
7.7308	-0.02914807	-0.03961999	-0.06155034	-0.06101011	
7.731	-0.02916213	-0.0396216	-0.06154705	-0.06100791	
7.7312	-0.02917632	-0.0396232	-0.06154376	-0.06100572	
7.7314	-0.02919064	-0.03962479	-0.06154048	-0.06100352	
7.7316	-0.0292051	-0.03962638	-0.0615372	-0.06100134	
7.7318	-0.0292197	-0.03962795	-0.06153394	-0.06099916	
7.732	-0.02923444	-0.03962953	-0.06153067	-0.06099698	
7.7322	-0.02924933	-0.03963109	-0.06152742	-0.06099481	
7.7324	-0.02926436	-0.03963265	-0.06152417	-0.06099264	
7.7326	-0.02927955	-0.0396342	-0.06152093	-0.06099048	
7.7328	-0.02929488	-0.03963574	-0.06151769	-0.06098832	
7.733	-0.02931038	-0.03963728	-0.06151446	-0.06098617	
7.7332	-0.02932603	-0.03963881	-0.06151124	-0.06098402	
7.7334	-0.02934185	-0.03964034	-0.06150802	-0.06098187	
7.7336	-0.02935783	-0.03964185	-0.06150481	-0.06097973	
7.7338	-0.02937398	-0.03964337	-0.0615016	-0.0609776	
7.734	-0.02939031	-0.03964487	-0.06149841	-0.06097547	
7.7342	-0.02940681	-0.03964637	-0.06149521	-0.06097334	
7.7344	-0.0294235	-0.03964786	-0.06149203	-0.06097122	
7.7346	-0.02944037	-0.03964934	-0.06148885	-0.0609691	
7.7348	-0.02945742	-0.03965082	-0.06148568	-0.06096698	
7.735	-0.02947467	-0.03965229	-0.06148251	-0.06096487	
7.7352	-0.02949211	-0.03965376	-0.06147935	-0.06096277	
7.7354	-0.02950976	-0.03965522	-0.0614762	-0.06096067	
7.7356	-0.0295276	-0.03965667	-0.06147305	-0.06095857	
7.7358	-0.02954566	-0.03965811	-0.06146991	-0.06095648	
7.736	-0.02956393	-0.03965956	-0.06146678	-0.06095439	
7.7362	-0.02958241	-0.03966099	-0.06146365	-0.06095231	
7.7364	-0.02960112	-0.03966242	-0.06146052	-0.06095023	
7.7366	-0.02962006	-0.03966384	-0.06145741	-0.06094816	
7.7368	-0.02963922	-0.03966525	-0.0614543	-0.06094609	
7.737	-0.02965862	-0.03966666	-0.06145119	-0.06094402	
7.7372	-0.02967826	-0.03966806	-0.0614481	-0.06094196	
7.7374	-0.02969815	-0.03966946	-0.06144501	-0.0609399	
7.7376	-0.02971829	-0.03967085	-0.06144192	-0.06093785	
7.7378	-0.02973869	-0.03967224	-0.06143884	-0.0609358	
7.738	-0.02975935	-0.03967362	-0.06143577	-0.06093376	
7.7382	-0.02978028	-0.03967499	-0.0614327	-0.06093172	
7.7384	-0.02980148	-0.03967636	-0.06142964	-0.06092969	
7.7386	-0.02982296	-0.03967772	-0.06142658	-0.06092765	
7.7388	-0.02984473	-0.03967907	-0.06142354	-0.06092563	
7.739	-0.02986679	-0.03968042	-0.06142049	-0.0609236	
7.7392	-0.02988916	-0.03968176	-0.06141746	-0.06092159	
7.7394	-0.02991183	-0.0396831	-0.06141442	-0.06091957	
7.7396	-0.02993481	-0.03968443	-0.0614114	-0.06091756	
7.7398	-0.02995811	-0.03968576	-0.06140838	-0.06091556	
7.74	-0.02998174	-0.03968708	-0.06140537	-0.06091356	
7.7402	-0.0300057	-0.03968839	-0.06140237	-0.06091156	
7.7404	-0.03003001	-0.0396897	-0.06139936	-0.06090957	
7.7406	-0.03005468	-0.039691	-0.06139637	-0.06090758	
7.7408	-0.03007969	-0.0396923	-0.06139338	-0.06090559	
7.741	-0.03010508	-0.03969359	-0.0613904	-0.06090361	
7.7412	-0.03013085	-0.03969488	-0.06138742	-0.06090163	
7.7414	-0.030157	-0.03969616	-0.06138445	-0.06089966	
7.7416	-0.03018354	-0.03969743	-0.06138149	-0.06089769	
7.7418	-0.03021049	-0.03969871	-0.06137853	-0.06089573	
7.742	-0.03023786	-0.03969997	-0.06137558	-0.06089377	
7.7422	-0.03026565	-0.03970123	-0.06137263	-0.06089181	
7.7424	-0.03029388	-0.03970248	-0.06136969	-0.06088986	
7.7426	-0.03032255	-0.03970373	-0.06136676	-0.06088791	
7.7428	-0.03035168	-0.03970497	-0.06136383	-0.06088597	
7.743	-0.03038128	-0.03970621	-0.0613609	-0.06088403	
7.7432	-0.03041137	-0.03970744	-0.06135799	-0.0608821	
7.7434	-0.03044194	-0.03970867	-0.06135508	-0.06088017	
7.7436	-0.03047302	-0.03970988	-0.06135217	-0.06087824	
7.7438	-0.03050463	-0.0397111	-0.06134927	-0.06087632	
7.744	-0.03053676	-0.03971231	-0.06134638	-0.0608744	
7.7442	-0.03056945	-0.03971352	-0.06134349	-0.06087248	
7.7444	-0.03060269	-0.03971472	-0.06134061	-0.06087057	
7.7446	-0.03063652	-0.03971591	-0.06133773	-0.06086867	
7.7448	-0.03067094	-0.0397171	-0.06133486	-0.06086677	
7.745	-0.03070596	-0.03971829	-0.06133199	-0.06086487	
7.7452	-0.03074162	-0.03971947	-0.06132914	-0.06086297	
7.7454	-0.03077791	-0.03972064	-0.06132628	-0.06086108	
7.7456	-0.03081487	-0.03972181	-0.06132343	-0.0608592	
7.7458	-0.03085252	-0.03972298	-0.0613206	-0.06085731	
7.746	-0.03089085	-0.03972414	-0.06131776	-0.06085543	
7.7462	-0.03092991	-0.03972529	-0.06131493	-0.06085356	
7.7464	-0.03096971	-0.03972644	-0.0613121	-0.06085169	
