Time	(5) Hip Bistable 1	(6) Knee Bistable 1	(7) Hip Bistable 2	(8) Knee Bistable 2	
0	-0.05311966	-0.05311966	-0.05315875	-0.05315875	
0.0002	-0.05359572	-0.05359572	-0.05367365	-0.05367365	
0.0004	-0.05402687	-0.05402687	-0.05414344	-0.05414344	
0.0006	-0.05441841	-0.05441841	-0.05457341	-0.05457341	
0.0008	-0.05477462	-0.05477462	-0.05496786	-0.05496786	
0.0009999999	-0.05513819	-0.05513819	-0.05533036	-0.05533036	
0.0012	-0.05547136	-0.05547136	-0.05566252	-0.05566252	
0.0014	-0.05577693	-0.05577693	-0.05596711	-0.05596711	
0.0016	-0.05605736	-0.05605736	-0.05624658	-0.05624658	
0.0018	-0.05631482	-0.05631482	-0.05650311	-0.05650311	
0.002	-0.05655127	-0.05655127	-0.05673863	-0.05673863	
0.0022	-0.05676845	-0.05676845	-0.05695489	-0.05695489	
0.0024	-0.05696794	-0.05696794	-0.05715349	-0.05715349	
0.0026	-0.0571512	-0.0571512	-0.05733584	-0.05733584	
0.0028	-0.05731951	-0.05731951	-0.05750326	-0.05750326	
0.003	-0.05747407	-0.05747407	-0.05765693	-0.05765693	
0.0032	-0.05761596	-0.05761596	-0.05779794	-0.05779794	
0.0034	-0.05774619	-0.05774619	-0.05792729	-0.05792729	
0.0036	-0.05786565	-0.05786565	-0.05804588	-0.05804588	
0.0038	-0.05797518	-0.05797518	-0.05815455	-0.05815455	
0.004	-0.05807555	-0.05807555	-0.05825406	-0.05825406	
0.0042	-0.05816745	-0.05816745	-0.05834512	-0.05834512	
0.0044	-0.05825154	-0.05825154	-0.05842836	-0.05842836	
0.0046	-0.05832841	-0.05832841	-0.05850438	-0.05850438	
0.0048	-0.0583986	-0.0583986	-0.05857374	-0.05857374	
0.005	-0.05846261	-0.05846261	-0.05863692	-0.05863692	
0.0052	-0.05852092	-0.05852092	-0.0586944	-0.0586944	
0.0054	-0.05857394	-0.05857394	-0.05874661	-0.05874661	
0.0056	-0.05862207	-0.05862207	-0.05879392	-0.05879392	
0.0058	-0.05866568	-0.05866568	-0.05883672	-0.05883672	
0.006	-0.0587051	-0.0587051	-0.05887533	-0.05887533	
0.0062	-0.05874063	-0.05874063	-0.05891007	-0.05891007	
0.0064	-0.05877258	-0.05877258	-0.05894122	-0.05894122	
0.0066	-0.0588012	-0.0588012	-0.05896905	-0.05896905	
0.0068	-0.05882673	-0.05882673	-0.05899379	-0.05899379	
0.007	-0.05884941	-0.05884941	-0.05901569	-0.05901569	
0.0072	-0.05886944	-0.05886944	-0.05903495	-0.05903495	
0.0074	-0.05888702	-0.05888702	-0.05905175	-0.05905175	
0.0076	-0.05890232	-0.05890232	-0.05906629	-0.05906629	
0.0078	-0.05891552	-0.05891552	-0.05907872	-0.05907872	
0.007999999	-0.05892676	-0.05892676	-0.05908921	-0.05908921	
0.0082	-0.05893619	-0.05893619	-0.05909789	-0.05909789	
0.0084	-0.05894395	-0.05894395	-0.05910489	-0.05910489	
0.008599999	-0.05895014	-0.05895014	-0.05911034	-0.05911034	
0.0088	-0.0589549	-0.0589549	-0.05911435	-0.05911435	
0.009	-0.05895831	-0.05895831	-0.05911703	-0.05911703	
0.0092	-0.05896049	-0.05896049	-0.05911847	-0.05911847	
0.0094	-0.05896151	-0.05896151	-0.05911877	-0.05911877	
0.0096	-0.05896147	-0.05896147	-0.059118	-0.059118	
0.0098	-0.05896044	-0.05896044	-0.05911625	-0.05911625	
0.01	-0.05895849	-0.05895849	-0.05911359	-0.05911359	
0.0102	-0.0589557	-0.0589557	-0.05911008	-0.05911008	
0.0104	-0.05895211	-0.05895211	-0.05910579	-0.05910579	
0.0106	-0.0589478	-0.0589478	-0.05910077	-0.05910077	
0.0108	-0.05894281	-0.05894281	-0.05909507	-0.05909507	
0.011	-0.05893718	-0.05893718	-0.05908876	-0.05908876	
0.0112	-0.05893099	-0.05893099	-0.05908187	-0.05908187	
0.0114	-0.05892425	-0.05892425	-0.05907444	-0.05907444	
0.0116	-0.05891701	-0.05891701	-0.05906652	-0.05906652	
0.0118	-0.05890931	-0.05890931	-0.05905813	-0.05905813	
0.012	-0.05890118	-0.05890118	-0.05904933	-0.05904933	
0.0122	-0.05889266	-0.05889266	-0.05904013	-0.05904013	
0.0124	-0.05888377	-0.05888377	-0.05903057	-0.05903057	
0.0126	-0.05887454	-0.05887454	-0.05902067	-0.05902067	
0.0128	-0.058865	-0.058865	-0.05901046	-0.05901046	
0.013	-0.05885516	-0.05885516	-0.05899996	-0.05899996	
0.0132	-0.05884506	-0.05884506	-0.0589892	-0.0589892	
0.0134	-0.05883471	-0.05883471	-0.05897819	-0.05897819	
0.0136	-0.05882413	-0.05882413	-0.05896696	-0.05896696	
0.0138	-0.05881333	-0.05881333	-0.05895552	-0.05895552	
0.014	-0.05880234	-0.05880234	-0.05894389	-0.05894389	
0.0142	-0.05879118	-0.05879118	-0.05893207	-0.05893207	
0.0144	-0.05877984	-0.05877984	-0.0589201	-0.0589201	
0.0146	-0.05876835	-0.05876835	-0.05890797	-0.05890797	
0.0148	-0.05875672	-0.05875672	-0.05889571	-0.05889571	
0.015	-0.05874496	-0.05874496	-0.05888332	-0.05888332	
0.0152	-0.05873308	-0.05873308	-0.05887081	-0.05887081	
0.0154	-0.05872109	-0.05872109	-0.0588582	-0.0588582	
0.0156	-0.058709	-0.058709	-0.05884549	-0.05884549	
0.0158	-0.05869682	-0.05869682	-0.05883269	-0.05883269	
0.016	-0.05868455	-0.05868455	-0.0588198	-0.0588198	
0.0162	-0.0586722	-0.0586722	-0.05880684	-0.05880684	
0.0164	-0.05865979	-0.05865979	-0.05879382	-0.05879382	
0.0166	-0.05864731	-0.05864731	-0.05878073	-0.05878073	
0.0168	-0.05863477	-0.05863477	-0.05876759	-0.05876759	
0.017	-0.05862218	-0.05862218	-0.05875439	-0.05875439	
0.0172	-0.05860954	-0.05860954	-0.05874115	-0.05874115	
0.0174	-0.05859686	-0.05859686	-0.05872788	-0.05872788	
0.0176	-0.05858414	-0.05858414	-0.05871456	-0.05871456	
0.0178	-0.05857138	-0.05857138	-0.05870121	-0.05870121	
0.018	-0.05855859	-0.05855859	-0.05868783	-0.05868783	
0.0182	-0.05854578	-0.05854578	-0.05867442	-0.05867442	
0.0184	-0.05853293	-0.05853293	-0.058661	-0.058661	
0.0186	-0.05852007	-0.05852007	-0.05864755	-0.05864755	
0.0188	-0.05850719	-0.05850719	-0.05863409	-0.05863409	
0.019	-0.05849429	-0.05849429	-0.05862062	-0.05862062	
0.0192	-0.05848138	-0.05848138	-0.05860713	-0.05860713	
0.0194	-0.05846846	-0.05846846	-0.05859363	-0.05859363	
0.0196	-0.05845552	-0.05845552	-0.05858013	-0.058577	
0.0198	-0.05844259	-0.05844269	-0.05856662	-0.05855265	
0.02	-0.05842964	-0.05843023	-0.05855311	-0.05851661	
0.0202	-0.05841669	-0.05841852	-0.0585396	-0.05846554	
0.0204	-0.05840373	-0.05840806	-0.05852608	-0.05839659	
0.0206	-0.05839078	-0.05839943	-0.05851256	-0.05830748	
0.0208	-0.05837783	-0.05839325	-0.05849905	-0.05819639	
0.021	-0.05836488	-0.0583902	-0.05848555	-0.05806198	
0.0212	-0.05835193	-0.05839096	-0.05847204	-0.05790329	
0.0214	-0.05833898	-0.05839624	-0.05845855	-0.05771982	
0.0216	-0.05832604	-0.05840671	-0.05844506	-0.05751135	
0.0218	-0.05831311	-0.05842306	-0.05843157	-0.05727804	
0.022	-0.05830018	-0.0584459	-0.0584181	-0.0570203	
0.0222	-0.05828726	-0.05847583	-0.05840463	-0.05673881	
0.0224	-0.05827435	-0.05851339	-0.05839118	-0.05643443	
0.0226	-0.05826144	-0.05855907	-0.05837774	-0.05610824	
0.0228	-0.05824855	-0.05861329	-0.0583643	-0.05576143	
0.023	-0.05823566	-0.05867639	-0.05835088	-0.05539532	
0.0232	-0.05822279	-0.05874867	-0.05833747	-0.05501131	
0.0234	-0.05820993	-0.05883035	-0.05832408	-0.05461085	
0.0236	-0.05819708	-0.05892158	-0.05831069	-0.05419544	
0.0238	-0.05818424	-0.05902243	-0.05829732	-0.05376656	
0.024	-0.05817141	-0.05913293	-0.05828397	-0.05332572	
0.0242	-0.0581586	-0.05925301	-0.05827063	-0.05287438	
0.0244	-0.0581458	-0.05938257	-0.0582573	-0.05241395	
0.0246	-0.05813301	-0.05952144	-0.05824399	-0.05194582	
0.0248	-0.05812024	-0.05966941	-0.0582307	-0.05147129	
0.025	-0.05810748	-0.0598262	-0.05821742	-0.05099162	
0.0252	-0.05809474	-0.05999152	-0.05820416	-0.05050797	
0.0254	-0.05808201	-0.060165	-0.05819091	-0.05002145	
0.0256	-0.05806929	-0.06034628	-0.05817768	-0.04953992	
0.0258	-0.05805659	-0.06053473	-0.05816447	-0.0490647	
0.026	-0.05804391	-0.06072968	-0.05815127	-0.04859664	
0.0262	-0.05803124	-0.06093049	-0.05813809	-0.04813653	
0.0264	-0.05801859	-0.0611365	-0.05812493	-0.04768506	
0.0266	-0.05800595	-0.06134706	-0.05811178	-0.04724285	
0.0268	-0.05799333	-0.06156152	-0.05809866	-0.0468104	
0.027	-0.05798073	-0.06177927	-0.05808555	-0.04638815	
0.0272	-0.05796814	-0.06199967	-0.05807245	-0.04597647	
0.0274	-0.05795557	-0.06222215	-0.05805938	-0.04557565	
0.0276	-0.05794301	-0.06244612	-0.05804632	-0.0451859	
0.0278	-0.05793047	-0.06267104	-0.05803328	-0.04480737	
0.028	-0.05791795	-0.06289637	-0.05802026	-0.04444017	
0.0282	-0.05790544	-0.06312162	-0.05800726	-0.04408434	
0.0284	-0.05789296	-0.06334633	-0.05799427	-0.04373988	
0.0286	-0.05788048	-0.06357005	-0.0579813	-0.04340674	
0.0288	-0.05786803	-0.06379236	-0.05796835	-0.04308483	
0.029	-0.05785559	-0.06401289	-0.05795542	-0.04277405	
0.0292	-0.05784317	-0.06423128	-0.05794251	-0.04247423	
0.0294	-0.05783077	-0.06444719	-0.05792961	-0.04218521	
0.0296	-0.05781838	-0.06466035	-0.05791673	-0.04190679	
0.0298	-0.05780601	-0.06487046	-0.05790388	-0.04163874	
0.03	-0.05779366	-0.0650773	-0.05789104	-0.04138085	
0.0302	-0.05778132	-0.06528064	-0.05787821	-0.04113284	
0.0304	-0.05776901	-0.06548029	-0.05786541	-0.04089449	
0.0306	-0.05775671	-0.06567609	-0.05785263	-0.04066551	
0.0308	-0.05774442	-0.06586787	-0.05783986	-0.04044564	
0.031	-0.05773216	-0.06605552	-0.05782712	-0.0402346	
0.0312	-0.05771991	-0.06623894	-0.05781438	-0.0400321	
0.0314	-0.05770768	-0.06641804	-0.05780167	-0.03983787	
0.0316	-0.05769547	-0.06658825	-0.05778898	-0.03965163	
0.0318	-0.05768327	-0.06674916	-0.05777631	-0.03947309	
0.032	-0.0576711	-0.06690126	-0.05776365	-0.039302	
0.0322	-0.05765894	-0.067045	-0.05775101	-0.03913805	
0.0324	-0.05764679	-0.0671808	-0.05773839	-0.038981	
0.0326	-0.05763467	-0.06730906	-0.05772579	-0.03883057	
0.0328	-0.05762256	-0.06743016	-0.05771321	-0.03868651	
0.033	-0.05761047	-0.06754447	-0.05770065	-0.03854856	
0.0332	-0.0575984	-0.06765231	-0.0576881	-0.03841648	
0.0334	-0.05758635	-0.06775403	-0.05767557	-0.03829001	
0.0336	-0.05757431	-0.06784992	-0.05766306	-0.03816894	
