Time	LH Force	LH_AnkleZ	LH_HipZ	LH_Knee	Pelvis	
0.0066	-0.05	-0.003269986	-0.001989049	-0.001437577	-0.004695772	
0.0067	-0.05	-0.003368398	-0.002078757	-0.001519432	-0.004842403	
0.0068	-0.05	-0.003471828	-0.002169542	-0.001602032	-0.004984448	
0.0069	-0.05	-0.003577878	-0.002261338	-0.001684956	-0.005121566	
0.007	-0.05	-0.003683825	-0.002354086	-0.001767754	-0.00525334	
0.0071	-0.05	-0.003786849	-0.002447725	-0.001849966	-0.005379383	
0.0072	-0.05	-0.003883995	-0.00254219	-0.001931111	-0.005499241	
0.0073	-0.05	-0.003972448	-0.002637415	-0.002010721	-0.005612449	
0.0074	-0.05	-0.004049426	-0.002733323	-0.002088318	-0.005718476	
0.0075	-0.05	-0.004112474	-0.002829827	-0.002163445	-0.007621485	
0.0076	-0.05	-0.004176368	-0.002909574	-0.00222977	-0.007671221	
0.0077	-0.05	-0.004222075	-0.002989663	-0.002292722	-0.007708997	
0.0078	-0.05	-0.004248004	-0.003070012	-0.002352053	-0.007751012	
0.0079	-0.05	-0.004253166	-0.003150348	-0.002407372	-0.007785887	
0.007999999	-0.05	-0.004253166	-0.003229915	-0.002459266	-0.007814456	
0.0081	-0.05	-0.004253166	-0.003308335	-0.00250778	-0.007836564	
0.0082	-0.05	-0.004253166	-0.003385398	-0.002552631	-0.007851428	
0.0083	-0.05	-0.004253166	-0.003460891	-0.002593532	-0.007858331	
0.0084	-0.05	-0.004253166	-0.003534607	-0.002630204	-0.007856349	
0.0085	-0.05	-0.004253166	-0.003606345	-0.002662373	-0.007844639	
0.008599999	-0.05	-0.004253166	-0.003675909	-0.002689776	-0.00779085	
0.0087	-0.05	-0.004253167	-0.003743137	-0.002712061	-0.00772693	
0.0088	-0.05	-0.004253167	-0.003807847	-0.002728988	-0.007658482	
0.0089	-0.05	-0.004253167	-0.003869989	-0.002740399	-0.007575699	
0.009	-0.05	-0.004253167	-0.00392928	-0.002746038	-0.007485526	
0.009099999	-0.05	-0.004253167	-0.003985703	-0.002746038	-0.007417531	
0.0092	-0.05	-0.004253167	-0.004041598	-0.002746038	-0.007341756	
0.0093	-0.05	-0.004253167	-0.004096895	-0.002746038	-0.007258368	
0.0094	-0.05	-0.004253167	-0.004151524	-0.002746038	-0.007167521	
0.0095	-0.05	-0.004253168	-0.004205416	-0.002746038	-0.007069389	
0.0096	-0.05	-0.004253168	-0.004258507	-0.002746038	-0.006964147	
0.009699999	-0.05	-0.004253168	-0.004310731	-0.002746038	-0.006852008	
0.0098	-0.05	-0.004253168	-0.004362023	-0.002746038	-0.006733165	
0.0099	-0.05	-0.004253168	-0.004412325	-0.002746038	-0.006607856	
0.01	-0.05	-0.004253168	-0.004461575	-0.002746038	-0.006476279	
0.0101	-0.05	-0.004253168	-0.004509718	-0.002746038	-0.006338687	
0.0102	-0.05	-0.004253168	-0.004556697	-0.002746038	-0.006195328	
0.0103	-0.05	-0.004253169	-0.004602461	-0.002746038	-0.006046422	
0.0104	-0.05	-0.004253169	-0.004646959	-0.002746038	-0.005892244	
0.0105	-0.05	-0.004253169	-0.004690144	-0.002746038	-0.005733066	
0.0106	-0.05	-0.004253169	-0.00473197	-0.002746038	-0.005569154	
0.0107	-0.05	-0.004253169	-0.004772395	-0.002746038	-0.005402009	
0.0108	-0.05	-0.004253169	-0.00481139	-0.002746038	-0.005232254	
0.0109	-0.05	-0.004253169	-0.004848931	-0.002746038	-0.005060047	
0.011	-0.05	-0.004253169	-0.004884995	-0.002746038	-0.004885543	
0.0111	-0.05	-0.00425317	-0.004919563	-0.002746038	-0.004708888	
0.0112	-0.05	-0.00425317	-0.004952615	-0.002746038	-0.00452995	
0.0113	-0.05	-0.00425317	-0.004984136	-0.002746038	-0.004348736	
0.0114	-0.05	-0.00425317	-0.005014112	-0.002746038	-0.00416542	
0.0115	-0.05	-0.00425317	-0.005042532	-0.002746038	-0.003980243	
0.0116	-0.05	-0.00425317	-0.005069383	-0.002746038	-0.003793407	
0.0117	-0.05	-0.00425317	-0.005094659	-0.002746038	-0.003605168	
0.0118	-0.05	-0.00425317	-0.005118352	-0.002746038	-0.003415769	
0.0119	-0.05	-0.00425317	-0.005140457	-0.002746038	-0.003225482	
0.012	-0.05	-0.00425317	-0.005160972	-0.002746038	-0.003034553	
0.0121	-0.05	-0.00425317	-0.005179895	-0.002746038	-0.002843263	
0.0122	-0.05	-0.004253171	-0.005197226	-0.002746038	-0.002651852	
0.0123	-0.05	-0.004253171	-0.005212967	-0.002746038	-0.002460599	
0.0124	-0.05	-0.004253171	-0.005227122	-0.002746038	-0.00226973	
0.0125	-0.05	-0.004253171	-0.005239696	-0.002746038	-0.002079496	
0.0126	-0.05	-0.004253171	-0.005250698	-0.002746038	-0.001890101	
0.0127	-0.05	-0.004253171	-0.005260136	-0.002746038	-0.001701755	
0.0128	-0.05	-0.004253171	-0.005268021	-0.002746038	-0.001514625	
0.0129	-0.05	-0.004253172	-0.005274367	-0.002746038	-0.001328898	
0.013	-0.05	-0.004253172	-0.005279187	-0.002746038	-0.001144677	
0.0131	-0.05	-0.004253172	-0.005282499	-0.002746038	-0.0009633256	
0.0132	-0.05	-0.004253172	-0.00528433	-0.002746038	-0.0007858867	
0.0133	-0.05	-0.004253172	-0.005284715	-0.002746038	-0.0006125766	
0.0134	-0.05	-0.004253172	-0.005283694	-0.002746038	-0.0004391209	
0.0135	-0.05	-0.004253172	-0.005281318	-0.002746038	-0.0002685559	
0.0136	-0.05	-0.004253172	-0.005277633	-0.002746038	-0.0001022048	
0.0137	-0.05	-0.004253173	-0.00527269	-0.002746039	5.964537E-05	
0.0138	-0.05	-0.004253173	-0.005266539	-0.002746039	0.0002167524	
0.0139	-0.05	-0.004253173	-0.005259234	-0.002746039	0.0003688547	
0.014	-0.05	-0.004253173	-0.005250832	-0.002746039	0.0005157212	
0.0141	-0.05	-0.004253173	-0.005241391	-0.002746039	0.0006570811	
0.0142	-0.05	-0.004253173	-0.005230972	-0.002746039	0.0007927481	
0.0143	-0.05	-0.004253173	-0.005219638	-0.002746039	0.0009224872	
0.0144	-0.05	-0.004253174	-0.005207455	-0.002746039	0.001046082	
0.0145	-0.05	-0.004253174	-0.00519449	-0.002746039	0.00116333	
0.0146	-0.05	-0.004253174	-0.005180812	-0.002746039	0.001274056	
0.0147	-0.05	-0.004253174	-0.005166492	-0.002746039	0.001378063	
0.0148	-0.05	-0.004253174	-0.005151603	-0.002746039	0.001475187	
0.0149	-0.05	-0.004253174	-0.005136218	-0.002746039	0.001565268	
0.015	-0.05	-0.004253174	-0.005120414	-0.002746039	0.001648162	
