V2,y,y,y,y,y,y
400,0,450,0,450,0,450
401,0,450,0,450,0,450
402,0,450,0,450,0,450
403,0,450,0,450,0,450
404,0,450,0,450,0,450
405,0,450,0,450,0,450
406,0,450,0,450,0,450
407,0,450,0,450,0,450
408,0,450,0,450,0,450
409,0,450,0,450,0,450
410,0,450,0,450,0,450
411,0,450,0,450,0,450
412,0,450,0,450,0,450
413,0,450,0,450,0,450
414,0,450,0,450,0,450
415,0,450,0,450,0,450
416,0,450,0,450,0,450
417,0,450,0,450,0,450
418,0,450,0,450,0,450
419,0,450,0,450,0,450
420,0,450,0,450,0,450
421,0,450,0,450,0,450
422,0,450,0,450,0,450
423,0,450,0,450,0,450
424,0,450,0,450,0,450
425,0,450,0,450,0,450
426,0,450,0,450,0,450
427,0,450,0,450,0,450
428,0,450,0,450,0,450
429,0,450,0,450,0,450
430,0,450,0,450,0,450
431,0,450,0,450,0,450
432,0,450,0,450,0,450
433,0,450,0,450,0,450
434,0,450,0,450,0,450
435,0,450,0,450,0,450
436,0,450,0,450,0,450
437,0,450,0,450,0,450
438,0,450,0,450,0,450
439,0,450,0,450,0,450
440,0,450,0,450,0,450
441,0,450,0,450,0,450
442,0,450,0,450,0,450
443,0,450,0,450,0,450
444,0,450,0,450,0,450
445,0,450,0,450,0,450
446,0,450,0,450,0,450
447,0,450,0,450,0,450
448,0,450,0,450,0,450
449,0,450,0,450,0,450
450,0,450,0,450,0,450
451,0,450,0,450,0,450
452,0,450,0,450,0,450
453,0,450,0,450,0,450
454,0,450,0,450,0,450
455,0,450,0,450,0,450
456,0,450,0,450,0,450
457,0,450,0,450,0,450
458,0,450,0,450,0,450
459,0,450,0,450,0,450
460,0,450,0,450,0,450
461,0,450,0,450,0,450
462,0,450,0,450,0,450
463,0,450,0,450,0,450
464,0,450,0,450,0,450
465,0,450,0,450,0,450
466,0,450,0,450,0,450
467,0,450,0,450,0,450
468,0,450,0,450,0,450
469,0,450,0,450,0,450
470,0,450,0,450,0,450
471,0,450,0,450,0,450
472,0,450,0,450,0,450
473,0,450,0,450,0,450
474,0,450,0,450,0,450
475,0,450,0,450,0,450
476,0,450,0,450,0,450
477,0,450,0,450,0,450
478,0,450,0,450,0,450
479,0,450,0,450,0,450
480,0,450,0,450,0,450
481,0,450,0,450,0,450
482,0,450,0,450,0,450
483,0,450,0,450,0,450
484,0,450,0,450,0,450
485,0,450,0,450,0,450
486,0,450,0,450,0,450
487,0,450,0,450,0,450
488,0,450,0,450,0,450
489,0,450,0,450,0,450
490,0,450,0,450,0,450
491,0,450,0,450,0,450
492,0,450,0,450,0,450
493,0,450,0,450,0,450
494,0,450,0,450,0,450
495,0,450,0,450,0,450
496,0,450,0,450,0,450
497,0,450,0,450,0,450
498,0,450,0,450,0,450
499,0,450,0,450,0,450
500,0,450,0,450,0,450
