Time	(5) Hip Bistable 1	(6) Knee Bistable 1	(7) Hip Bistable 2	(8) Knee Bistable 2	
9.0224	-0.04000002	-0.06006372	-0.06001002	-0.03999682	
9.0226	-0.04000002	-0.0600636	-0.06001002	-0.03999683	
9.022799	-0.04000002	-0.06006347	-0.06001002	-0.03999684	
9.023	-0.04000002	-0.06006335	-0.06001002	-0.03999686	
9.0232	-0.04000002	-0.06006323	-0.06001002	-0.03999687	
9.023399	-0.04000002	-0.06006311	-0.06001002	-0.03999688	
9.0236	-0.04000002	-0.06006298	-0.06001002	-0.0399969	
9.0238	-0.04000002	-0.06006286	-0.06001002	-0.03999691	
9.024	-0.04000002	-0.06006274	-0.06001002	-0.03999692	
9.024199	-0.04000002	-0.06006261	-0.06001002	-0.03999693	
9.0244	-0.04000002	-0.06006249	-0.06001002	-0.03999695	
9.0246	-0.04000002	-0.06006237	-0.06001002	-0.03999696	
9.024799	-0.04000002	-0.06006225	-0.06001002	-0.03999697	
9.025	-0.04000002	-0.06006213	-0.06001001	-0.03999699	
9.0252	-0.04000002	-0.06006201	-0.06001001	-0.039997	
9.0254	-0.04000002	-0.06006189	-0.06001001	-0.03999701	
9.025599	-0.04000002	-0.06006177	-0.06001001	-0.03999702	
9.0258	-0.04000002	-0.06006165	-0.06001001	-0.03999703	
9.026	-0.04000002	-0.06006153	-0.06001001	-0.03999704	
9.026199	-0.04000002	-0.06006141	-0.06001001	-0.03999706	
9.0264	-0.04000002	-0.06006129	-0.06001001	-0.03999707	
9.0266	-0.04000002	-0.06006117	-0.06001001	-0.03999708	
9.0268	-0.04000002	-0.06006105	-0.06001001	-0.03999709	
9.026999	-0.04000002	-0.06006093	-0.06001001	-0.0399971	
9.0272	-0.04000002	-0.06006082	-0.06001001	-0.03999712	
9.0274	-0.04000002	-0.0600607	-0.06001001	-0.03999713	
9.027599	-0.04000002	-0.06006058	-0.06001001	-0.03999714	
9.0278	-0.04000002	-0.06006046	-0.06001001	-0.03999715	
9.028	-0.04000002	-0.06006035	-0.06001001	-0.03999716	
9.0282	-0.04000002	-0.06006023	-0.06001001	-0.03999718	
9.028399	-0.04000002	-0.06006011	-0.06001001	-0.03999719	
9.0286	-0.04000002	-0.06006	-0.06001001	-0.0399972	
9.0288	-0.04000002	-0.06005988	-0.06001001	-0.03999721	
9.028999	-0.04000002	-0.06005977	-0.06001001	-0.03999722	
9.0292	-0.04000002	-0.06005965	-0.06001001	-0.03999723	
9.0294	-0.04000002	-0.06005954	-0.06001001	-0.03999725	
9.0296	-0.04000002	-0.06005942	-0.06001001	-0.03999726	
9.029799	-0.04000002	-0.06005931	-0.06001001	-0.03999727	
9.03	-0.04000002	-0.06005919	-0.06001001	-0.03999728	
9.0302	-0.04000002	-0.06005908	-0.06001001	-0.03999729	
9.030399	-0.04000002	-0.06005897	-0.06001001	-0.0399973	
9.0306	-0.04000002	-0.06005885	-0.06001001	-0.03999731	
9.0308	-0.04000002	-0.06005874	-0.06001001	-0.03999732	
9.031	-0.04000002	-0.06005863	-0.06001001	-0.03999734	
9.031199	-0.04000002	-0.06005852	-0.06001001	-0.03999735	
9.0314	-0.04000002	-0.0600584	-0.06001001	-0.03999736	
9.0316	-0.04000002	-0.06005829	-0.06001001	-0.03999737	
9.031799	-0.04000002	-0.06005818	-0.06001001	-0.03999738	
9.032	-0.04000002	-0.06005806	-0.06001001	-0.03999739	
