Time	Back_Left_Ankle	Back_Left_Hip_Joint	Back_Left_Knee_Joint	
0.0552	0.0008717614	-0.0008382026	-9.872392E-05	
0.0558	0.0008967076	-0.0008628453	-0.0001010902	
0.0564	0.0009222847	-0.0008880799	-0.0001035092	
0.057	0.0009485078	-0.0009139187	-0.0001059814	
0.0576	0.0009753919	-0.0009403733	-0.0001085074	
0.0582	0.001002952	-0.0009674558	-0.0001110878	
0.0588	0.001031205	-0.0009951785	-0.0001137231	
0.0594	0.001060166	-0.001023553	-0.000116414	
0.06	0.001089852	-0.001052593	-0.0001191609	
0.0606	0.001120278	-0.00108231	-0.0001219645	
0.0612	0.00115146	-0.001112716	-0.0001248251	
0.0618	0.001183417	-0.001143824	-0.0001277435	
0.0624	0.001216164	-0.001175647	-0.00013072	
0.063	0.001249718	-0.001208197	-0.0001337552	
0.0636	0.001284097	-0.001241488	-0.0001368494	
0.0642	0.001319319	-0.001275532	-0.0001400034	
0.0648	0.001355399	-0.001310341	-0.0001432174	
0.0654	0.001392357	-0.00134593	-0.000146492	
0.066	0.00143021	-0.001382311	-0.0001498275	
0.06659999	0.001468977	-0.001419497	-0.0001532245	
0.0672	0.001508675	-0.001457501	-0.0001566833	
0.0678	0.001549323	-0.001496336	-0.0001602043	
0.0684	0.001590938	-0.001536017	-0.0001637879	
0.069	0.001633541	-0.001576555	-0.0001674344	
0.0696	0.00167715	-0.001617965	-0.0001711443	
0.0702	0.001721782	-0.00166026	-0.0001749178	
0.0708	0.001767459	-0.001703453	-0.0001787554	
0.0714	0.001814199	-0.001747557	-0.0001826573	
0.072	0.001862022	-0.001792586	-0.0001866238	
0.0726	0.001910946	-0.001838554	-0.0001906552	
0.07319999	0.001960993	-0.001885474	-0.0001947518	
0.0738	0.00201218	-0.001933359	-0.0001989139	
0.0744	0.002064529	-0.001982223	-0.0002031416	
0.075	0.00211806	-0.00203208	-0.0002074353	
0.0756	0.002172793	-0.002082943	-0.0002117951	
0.0762	0.002228747	-0.002134825	-0.0002162212	
0.0768	0.002285943	-0.002187741	-0.0002207138	
0.0774	0.002344404	-0.002241703	-0.0002252731	
0.078	0.002404147	-0.002296725	-0.0002298992	
0.0786	0.002465195	-0.00235282	-0.0002345923	
0.0792	0.002527568	-0.002410003	-0.0002393525	
0.07979999	0.002591287	-0.002468285	-0.0002441798	
0.0804	0.002656373	-0.002527682	-0.0002490744	
0.081	0.002722848	-0.002588206	-0.0002540364	
0.0816	0.002790732	-0.00264987	-0.0002590656	
0.0822	0.002860047	-0.002712688	-0.0002641623	
0.0828	0.002930814	-0.002776672	-0.0002693264	
0.0834	0.003003056	-0.002841838	-0.000274558	
0.084	0.003076792	-0.002908196	-0.000279857	
0.0846	0.003152046	-0.002975761	-0.0002852234	
0.0852	0.003228838	-0.003044545	-0.0002906572	
0.0858	0.003307191	-0.003114561	-0.0002961584	
0.08639999	0.003387127	-0.003185823	-0.0003017267	
0.087	0.003468666	-0.003258342	-0.0003073621	
0.0876	0.003551832	-0.003332133	-0.0003130646	
0.0882	0.003636647	-0.003407207	-0.0003188341	
0.0888	0.003723131	-0.003483576	-0.0003246702	
0.0894	0.003811309	-0.003561255	-0.0003305729	
0.09	0.003901201	-0.003640254	-0.0003365421	
0.0906	0.00399283	-0.003720586	-0.0003425774	
0.09119999	0.004086218	-0.003802263	-0.0003486786	
0.0918	0.004181387	-0.003885298	-0.0003548457	
0.0924	0.004278361	-0.003969702	-0.0003610784	
0.09299999	0.004377161	-0.004055487	-0.0003673762	
0.0936	0.00447781	-0.004142666	-0.0003737392	
0.0942	0.00458033	-0.004231249	-0.0003801669	
0.0948	0.004684744	-0.004321247	-0.0003866591	
0.0954	0.004791074	-0.004412673	-0.0003932153	
0.096	0.004899344	-0.004505538	-0.0003998355	
0.0966	0.005009576	-0.004599852	-0.0004065191	
0.0972	0.005121792	-0.004695627	-0.0004132656	
0.09779999	0.005236014	-0.004792874	-0.0004200749	
0.0984	0.005352267	-0.004891602	-0.0004269464	
0.099	0.00547057	-0.004991823	-0.0004338795	
0.09959999	0.005590949	-0.005093547	-0.0004408743	
0.1002	0.005713426	-0.005196783	-0.0004479301	
0.1008	0.005838023	-0.005301543	-0.0004550465	
0.1014	0.005964764	-0.005407835	-0.0004622228	
0.102	0.00609367	-0.00551567	-0.0004694587	
0.1026	0.006224765	-0.005625057	-0.0004767537	
0.1032	0.006358073	-0.005736005	-0.0004841074	
0.1038	0.006493615	-0.005848522	-0.0004915189	
0.1044	0.006631413	-0.00596262	-0.0004989878	
0.105	0.006771492	-0.006078305	-0.0005065138	
0.1056	0.006913874	-0.006195586	-0.0005140961	
0.1062	0.007058582	-0.006314472	-0.0005217341	
0.1068	0.007205639	-0.006434971	-0.0005294272	
0.1074	0.007355067	-0.00655709	-0.0005371746	
0.108	0.007506889	-0.006680837	-0.0005449759	
0.1086	0.007661128	-0.006806219	-0.0005528302	
0.1092	0.00781781	-0.006933245	-0.0005607374	
0.1098	0.007976955	-0.00706192	-0.0005686964	
0.1104	0.008138586	-0.007192251	-0.0005767067	
0.111	0.008302726	-0.007324245	-0.0005847673	
0.1116	0.008469398	-0.007457907	-0.0005928776	
0.1122	0.008638628	-0.007593246	-0.0006010371	
0.1128	0.008810434	-0.007730264	-0.0006092446	
0.1134	0.008984843	-0.007868968	-0.0006174996	
0.114	0.009161877	-0.008009364	-0.0006258012	
0.1146	0.009341556	-0.008151456	-0.0006341485	
0.1152	0.009523908	-0.008295247	-0.000642541	
0.1158	0.009708954	-0.008440744	-0.0006509778	
0.1164	0.009896718	-0.00858795	-0.000659458	
0.117	0.01008722	-0.008736867	-0.0006679805	
0.1176	0.01028049	-0.008887501	-0.0006765444	
0.1182	0.01047654	-0.009039854	-0.0006851492	
0.1188	0.01067541	-0.009193928	-0.000693794	
0.1194	0.01087711	-0.009349725	-0.0007024777	
0.12	0.01108167	-0.009507249	-0.0007111991	
